project_id,wbs_code,activity_id,activity_name,wbs_level,discipline,location,line_number,equipment_tag,planned_start,planned_finish,unit,planned_quantity,predecessor_ids
OIL-GGS-2026,ELE.010,ELE-L5-0001,Install Earthing Grid E-12 - Work Package,L5,Electrical,,,,2026-10-12,2026-10-30,,,
OIL-GGS-2026,ELE.010.01,ELE-L6-0002,Install Earthing Grid E-12 at Unit 300,L6,Electrical,Unit 300,,,2026-10-12,2026-10-14,m,132,ELE-L5-0001
OIL-GGS-2026,EQP.011,EQP-L5-0006,Grout Baseplate P-230 - Work Package,L5,Equipment,,,P-230,2026-11-21,2026-12-05,,,
OIL-GGS-2026,EQP.011.01,EQP-L6-0007,Grout Baseplate P-230 at Compressor House,L6,Equipment,Compressor House,,P-230,2026-11-21,2026-11-23,m3,2,EQP-L5-0006
OIL-GGS-2026,EQP.011.02,EQP-L6-0008,Grout Baseplate P-230 at Area 10,L6,Equipment,Area 10,,P-230,2026-11-24,2026-11-27,m3,6,EQP-L6-0007
OIL-GGS-2026,EQP.011.03,EQP-L6-0009,Grout Baseplate P-230 at Tank Farm,L6,Equipment,Tank Farm,,P-230,2026-11-28,2026-11-30,m3,6,EQP-L6-0008
OIL-GGS-2026,ELE.012,ELE-L5-0003,Install Earthing Grid E-12 - Work Package,L5,Electrical,,,,2026-10-16,2026-10-26,,,
OIL-GGS-2026,ELE.012.01,ELE-L6-0004,Install Earthing Grid E-12 - Part 1 at Area 20,L6,Electrical,Area 20,,,2026-10-16,2026-10-20,m,129,ELE-L5-0003
OIL-GGS-2026,ELE.012.02,ELE-L6-0005,Install Earthing Grid E-12 - Part 2 at Area 20,L6,Electrical,Area 20,,,2026-10-21,2026-10-24,m,55,ELE-L6-0004
OIL-GGS-2026,ELE.012.03,ELE-L6-0006,Install Earthing Grid E-12 - Part 3 at Area 20,L6,Electrical,Area 20,,,2026-10-26,2026-10-26,m,36,ELE-L6-0005
OIL-GGS-2026,PIP.013,PIP-L5-0006,Fit-up 24in Spool Line 32-05 - Work Package,L5,Piping,,32,,2026-09-29,2026-10-08,,,
OIL-GGS-2026,PIP.013.01,PIP-L6-0007,Fit-up 24in Spool Line 32-05 at Unit 200,L6,Piping,Unit 200,32,,2026-09-29,2026-09-30,spool,11,PIP-L5-0006
OIL-GGS-2026,PIP.013.02,PIP-L6-0008,Fit-up 24in Spool Line 32-05 at Pipe Rack North,L6,Piping,Pipe Rack North,32,,2026-10-01,2026-10-05,spool,6,PIP-L6-0007
OIL-GGS-2026,PIP.013.03,PIP-L6-0009,Fit-up 24in Spool Line 32-05 at Rack C,L6,Piping,Rack C,32,,2026-10-06,2026-10-10,spool,11,PIP-L6-0008
OIL-GGS-2026,EQP.014,EQP-L5-0010,Grout Baseplate P-492 - Work Package,L5,Equipment,,,P-492,2026-10-12,2026-10-26,,,
OIL-GGS-2026,EQP.014.01,EQP-L6-0011,Grout Baseplate P-492 at Area 10,L6,Equipment,Area 10,,P-492,2026-10-12,2026-10-15,m3,5,EQP-L5-0010
OIL-GGS-2026,PIP.015,PIP-L5-0010,Fit-up 18in Spool Line 40-08 - Work Package,L5,Piping,,40,,2026-09-17,2026-09-23,,,
OIL-GGS-2026,PIP.015.01,PIP-L6-0011,Fit-up 18in Spool Line 40-08 at Rack A,L6,Piping,Rack A,40,,2026-09-17,2026-09-17,spool,10,PIP-L5-0010
OIL-GGS-2026,ELE.016,ELE-L5-0007,Install Earthing Grid E-01 - Work Package,L5,Electrical,,,,2026-12-30,2027-01-11,,,
OIL-GGS-2026,ELE.016.01,ELE-L6-0008,Install Earthing Grid E-01 - Part 1 at MCC Room,L6,Electrical,MCC Room,,,2026-12-30,2026-12-30,m,100,ELE-L5-0007
OIL-GGS-2026,ELE.016.02,ELE-L6-0009,Install Earthing Grid E-01 - Part 2 at MCC Room,L6,Electrical,MCC Room,,,2026-12-31,2027-01-04,m,96,ELE-L6-0008
OIL-GGS-2026,ELE.016.03,ELE-L6-0010,Install Earthing Grid E-01 - Part 3 at MCC Room,L6,Electrical,MCC Room,,,2027-01-05,2027-01-06,m,146,ELE-L6-0009
OIL-GGS-2026,PIP.017,PIP-L5-0012,Hydrotest Line 12-02 - Work Package,L5,Piping,,12,,2026-11-21,2026-12-09,,,
OIL-GGS-2026,PIP.017.01,PIP-L6-0013,Hydrotest Line 12-02 - Part 1 at Rack B,L6,Piping,Rack B,12,,2026-11-21,2026-11-23,line,1,PIP-L5-0012
OIL-GGS-2026,PIP.017.02,PIP-L6-0014,Hydrotest Line 12-02 - Part 2 at Rack B,L6,Piping,Rack B,12,,2026-11-24,2026-11-27,line,1,PIP-L6-0013
OIL-GGS-2026,PIP.017.03,PIP-L6-0015,Hydrotest Line 12-02 - Part 3 at Rack B,L6,Piping,Rack B,12,,2026-11-28,2026-11-28,line,1,PIP-L6-0014
OIL-GGS-2026,EQP.018,EQP-L5-0012,Install Pump P-407 - Work Package,L5,Equipment,,,P-407,2026-10-17,2026-10-24,,,
OIL-GGS-2026,EQP.018.01,EQP-L6-0013,Install Pump P-407 at Area 10,L6,Equipment,Area 10,,P-407,2026-10-17,2026-10-19,unit,1,EQP-L5-0012
OIL-GGS-2026,PIP.019,PIP-L5-0016,Erect 18in Spool Line 40-09 - Work Package,L5,Piping,,40,,2026-11-19,2026-11-27,,,
OIL-GGS-2026,PIP.019.01,PIP-L6-0017,Erect 18in Spool Line 40-09 at Rack A,L6,Piping,Rack A,40,,2026-11-19,2026-11-23,spool,11,PIP-L5-0016
OIL-GGS-2026,PIP.019.02,PIP-L6-0018,Erect 18in Spool Line 40-09 at Unit 200,L6,Piping,Unit 200,40,,2026-11-24,2026-11-25,spool,9,PIP-L6-0017
OIL-GGS-2026,PIP.019.03,PIP-L6-0019,Erect 18in Spool Line 40-09 at Rack C,L6,Piping,Rack C,40,,2026-11-26,2026-11-26,spool,10,PIP-L6-0018
OIL-GGS-2026,EQP.020,EQP-L5-0014,Align Pump TK-410 - Work Package,L5,Equipment,,,TK-410,2026-10-15,2026-10-26,,,
OIL-GGS-2026,EQP.020.01,EQP-L6-0015,Align Pump TK-410 at Unit 100,L6,Equipment,Unit 100,,TK-410,2026-10-15,2026-10-15,unit,1,EQP-L5-0014
OIL-GGS-2026,PIP.021,PIP-L5-0020,Paint 6in Line 40-05 - Work Package,L5,Piping,,40,,2027-01-22,2027-02-06,,,
OIL-GGS-2026,PIP.021.01,PIP-L6-0021,Paint 6in Line 40-05 at Rack A,L6,Piping,Rack A,40,,2027-01-22,2027-01-23,m,76,PIP-L5-0020
OIL-GGS-2026,ELE.022,ELE-L5-0011,Install Lighting Panel P-186 - Work Package,L5,Electrical,,,P-186,2026-12-09,2026-12-21,,,
OIL-GGS-2026,ELE.022.01,ELE-L6-0012,Install Lighting Panel P-186 - Part 1 at Unit 300,L6,Electrical,Unit 300,,P-186,2026-12-09,2026-12-11,panel,2,ELE-L5-0011
OIL-GGS-2026,ELE.022.02,ELE-L6-0013,Install Lighting Panel P-186 - Part 2 at Unit 300,L6,Electrical,Unit 300,,P-186,2026-12-12,2026-12-16,panel,2,ELE-L6-0012
OIL-GGS-2026,ELE.022.03,ELE-L6-0014,Install Lighting Panel P-186 - Part 3 at Unit 300,L6,Electrical,Unit 300,,P-186,2026-12-17,2026-12-17,panel,4,ELE-L6-0013
OIL-GGS-2026,PIP.023,PIP-L5-0022,Hydrotest Line 10-07 - Work Package,L5,Piping,,10,,2026-10-09,2026-10-28,,,
OIL-GGS-2026,PIP.023.01,PIP-L6-0023,Hydrotest Line 10-07 - Part 1 at Pipe Rack North,L6,Piping,Pipe Rack North,10,,2026-10-09,2026-10-12,line,1,PIP-L5-0022
OIL-GGS-2026,PIP.023.02,PIP-L6-0024,Hydrotest Line 10-07 - Part 2 at Pipe Rack North,L6,Piping,Pipe Rack North,10,,2026-10-13,2026-10-17,line,1,PIP-L6-0023
OIL-GGS-2026,INS.024,INS-L5-0009,Install Transmitter V-183 - Work Package,L5,Instrumentation,,,V-183,2027-01-04,2027-01-22,,,
OIL-GGS-2026,INS.024.01,INS-L6-0010,Install Transmitter V-183 at Unit 200,L6,Instrumentation,Unit 200,,V-183,2027-01-04,2027-01-07,instrument,2,INS-L5-0009
OIL-GGS-2026,INS.024.02,INS-L6-0011,Install Transmitter V-183 at Control Room,L6,Instrumentation,Control Room,,V-183,2027-01-08,2027-01-11,instrument,5,INS-L6-0010
OIL-GGS-2026,PIP.025,PIP-L5-0025,Weld 24in Joints Line 30-04 - Work Package,L5,Piping,,30,,2027-01-26,2027-02-15,,,
OIL-GGS-2026,PIP.025.01,PIP-L6-0026,Weld 24in Joints Line 30-04 at Rack B,L6,Piping,Rack B,30,,2027-01-26,2027-01-29,joint,29,PIP-L5-0025
OIL-GGS-2026,ELE.026,ELE-L5-0015,Pull Cable C-670 - Work Package,L5,Electrical,,,C-670,2026-09-19,2026-09-25,,,
OIL-GGS-2026,ELE.026.01,ELE-L6-0016,Pull Cable C-670 at Cable Trench T-4,L6,Electrical,Cable Trench T-4,,C-670,2026-09-19,2026-09-21,m,170,ELE-L5-0015
OIL-GGS-2026,ELE.026.02,ELE-L6-0017,Pull Cable C-670 at MCC Room,L6,Electrical,MCC Room,,C-670,2026-09-22,2026-09-26,m,398,ELE-L6-0016
OIL-GGS-2026,STR.027,STR-L5-0001,Install Grating Platform F-177 - Work Package,L5,Structural,,,F-177,2026-11-28,2026-12-05,,,
OIL-GGS-2026,STR.027.01,STR-L6-0002,Install Grating Platform F-177 at Area 20,L6,Structural,Area 20,,F-177,2026-11-28,2026-11-30,m2,71,STR-L5-0001
OIL-GGS-2026,STR.027.02,STR-L6-0003,Install Grating Platform F-177 at Unit 200,L6,Structural,Unit 200,,F-177,2026-12-01,2026-12-04,m2,80,STR-L6-0002
OIL-GGS-2026,STR.027.03,STR-L6-0004,Install Grating Platform F-177 at Rack A,L6,Structural,Rack A,,F-177,2026-12-05,2026-12-07,m2,52,STR-L6-0003
OIL-GGS-2026,INS.028,INS-L5-0012,Calibrate Instrument V-119 - Work Package,L5,Instrumentation,,,V-119,2026-12-11,2026-12-25,,,
OIL-GGS-2026,INS.028.01,INS-L6-0013,Calibrate Instrument V-119 at Unit 300,L6,Instrumentation,Unit 300,,V-119,2026-12-11,2026-12-14,instrument,9,INS-L5-0012
OIL-GGS-2026,INS.028.02,INS-L6-0014,Calibrate Instrument V-119 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,V-119,2026-12-15,2026-12-17,instrument,4,INS-L6-0013
OIL-GGS-2026,PIP.029,PIP-L5-0027,Hydrotest Line 16-01 - Work Package,L5,Piping,,16,,2027-01-15,2027-01-30,,,
OIL-GGS-2026,PIP.029.01,PIP-L6-0028,Hydrotest Line 16-01 at Pipe Rack North,L6,Piping,Pipe Rack North,16,,2027-01-15,2027-01-19,line,1,PIP-L5-0027
OIL-GGS-2026,PIP.029.02,PIP-L6-0029,Hydrotest Line 16-01 at Rack A,L6,Piping,Rack A,16,,2027-01-20,2027-01-22,line,1,PIP-L6-0028
OIL-GGS-2026,INS.030,INS-L5-0015,Calibrate Instrument TK-199 - Work Package,L5,Instrumentation,,,TK-199,2026-10-17,2026-11-04,,,
OIL-GGS-2026,INS.030.01,INS-L6-0016,Calibrate Instrument TK-199 - Part 1 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,TK-199,2026-10-17,2026-10-19,instrument,5,INS-L5-0015
OIL-GGS-2026,INS.030.02,INS-L6-0017,Calibrate Instrument TK-199 - Part 2 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,TK-199,2026-10-20,2026-10-21,instrument,10,INS-L6-0016
OIL-GGS-2026,PIP.031,PIP-L5-0030,Fit-up 12in Spool Line 30-07 - Work Package,L5,Piping,,30,,2026-12-31,2027-01-09,,,
OIL-GGS-2026,PIP.031.01,PIP-L6-0031,Fit-up 12in Spool Line 30-07 at Rack B,L6,Piping,Rack B,30,,2026-12-31,2026-12-31,spool,9,PIP-L5-0030
OIL-GGS-2026,PIP.031.02,PIP-L6-0032,Fit-up 12in Spool Line 30-07 at Unit 200,L6,Piping,Unit 200,30,,2027-01-01,2027-01-02,spool,9,PIP-L6-0031
OIL-GGS-2026,PIP.031.03,PIP-L6-0033,Fit-up 12in Spool Line 30-07 at Pipe Rack North,L6,Piping,Pipe Rack North,30,,2027-01-04,2027-01-05,spool,12,PIP-L6-0032
OIL-GGS-2026,EQP.032,EQP-L5-0016,Install Pump V-180 - Work Package,L5,Equipment,,,V-180,2026-12-12,2026-12-19,,,
OIL-GGS-2026,EQP.032.01,EQP-L6-0017,Install Pump V-180 - Part 1 at Unit 200,L6,Equipment,Unit 200,,V-180,2026-12-12,2026-12-14,unit,2,EQP-L5-0016
OIL-GGS-2026,EQP.032.02,EQP-L6-0018,Install Pump V-180 - Part 2 at Unit 200,L6,Equipment,Unit 200,,V-180,2026-12-15,2026-12-19,unit,2,EQP-L6-0017
OIL-GGS-2026,CIV.033,CIV-L5-0009,Excavate Foundation F-159 - Work Package,L5,Civil,,,F-159,2027-01-25,2027-02-06,,,
OIL-GGS-2026,CIV.033.01,CIV-L6-0010,Excavate Foundation F-159 at Unit 100,L6,Civil,Unit 100,,F-159,2027-01-25,2027-01-29,m3,173,CIV-L5-0009
OIL-GGS-2026,INS.034,INS-L5-0018,Install Transmitter P-384 - Work Package,L5,Instrumentation,,,P-384,2026-12-07,2026-12-15,,,
OIL-GGS-2026,INS.034.01,INS-L6-0019,Install Transmitter P-384 at Rack B,L6,Instrumentation,Rack B,,P-384,2026-12-07,2026-12-07,instrument,8,INS-L5-0018
OIL-GGS-2026,STR.035,STR-L5-0005,Install Grating Platform F-455 - Work Package,L5,Structural,,,F-455,2026-12-17,2026-12-31,,,
OIL-GGS-2026,STR.035.01,STR-L6-0006,Install Grating Platform F-455 at Unit 200,L6,Structural,Unit 200,,F-455,2026-12-17,2026-12-18,m2,63,STR-L5-0005
OIL-GGS-2026,CIV.036,CIV-L5-0011,Backfill Foundation F-314 - Work Package,L5,Civil,,,F-314,2026-10-12,2026-10-29,,,
OIL-GGS-2026,CIV.036.01,CIV-L6-0012,Backfill Foundation F-314 at Area 10,L6,Civil,Area 10,,F-314,2026-10-12,2026-10-12,m3,37,CIV-L5-0011
OIL-GGS-2026,CIV.036.02,CIV-L6-0013,Backfill Foundation F-314 at Tank Farm,L6,Civil,Tank Farm,,F-314,2026-10-13,2026-10-16,m3,115,CIV-L6-0012
OIL-GGS-2026,CIV.036.03,CIV-L6-0014,Backfill Foundation F-314 at Unit 100,L6,Civil,Unit 100,,F-314,2026-10-17,2026-10-19,m3,99,CIV-L6-0013
OIL-GGS-2026,STR.037,STR-L5-0007,Bolt-up Steel Frame F-183 - Work Package,L5,Structural,,,F-183,2026-12-17,2026-12-24,,,
OIL-GGS-2026,STR.037.01,STR-L6-0008,Bolt-up Steel Frame F-183 - Part 1 at Rack A,L6,Structural,Rack A,,F-183,2026-12-17,2026-12-18,joint,13,STR-L5-0007
OIL-GGS-2026,STR.037.02,STR-L6-0009,Bolt-up Steel Frame F-183 - Part 2 at Rack A,L6,Structural,Rack A,,F-183,2026-12-19,2026-12-22,joint,64,STR-L6-0008
OIL-GGS-2026,STR.037.03,STR-L6-0010,Bolt-up Steel Frame F-183 - Part 3 at Rack A,L6,Structural,Rack A,,F-183,2026-12-23,2026-12-23,joint,20,STR-L6-0009
OIL-GGS-2026,INS.038,INS-L5-0020,Run Tubing Impulse Line V-271 - Work Package,L5,Instrumentation,,,V-271,2026-12-11,2026-12-18,,,
OIL-GGS-2026,INS.038.01,INS-L6-0021,Run Tubing Impulse Line V-271 at Rack B,L6,Instrumentation,Rack B,,V-271,2026-12-11,2026-12-14,m,55,INS-L5-0020
OIL-GGS-2026,STR.039,STR-L5-0011,Bolt-up Steel Frame F-487 - Work Package,L5,Structural,,,F-487,2027-01-26,2027-02-11,,,
OIL-GGS-2026,STR.039.01,STR-L6-0012,Bolt-up Steel Frame F-487 at Unit 200,L6,Structural,Unit 200,,F-487,2027-01-26,2027-01-26,joint,57,STR-L5-0011
OIL-GGS-2026,CIV.040,CIV-L5-0015,Excavate Foundation F-395 - Work Package,L5,Civil,,,F-395,2027-01-27,2027-02-04,,,
OIL-GGS-2026,CIV.040.01,CIV-L6-0016,Excavate Foundation F-395 at Area 20,L6,Civil,Area 20,,F-395,2027-01-27,2027-01-29,m3,112,CIV-L5-0015
OIL-GGS-2026,CIV.040.02,CIV-L6-0017,Excavate Foundation F-395 at Substation Pad,L6,Civil,Substation Pad,,F-395,2027-01-30,2027-01-30,m3,146,CIV-L6-0016
OIL-GGS-2026,EQP.041,EQP-L5-0019,Install Pump FT-346 - Work Package,L5,Equipment,,,FT-346,2027-01-28,2027-02-08,,,
OIL-GGS-2026,EQP.041.01,EQP-L6-0020,Install Pump FT-346 - Part 1 at Compressor House,L6,Equipment,Compressor House,,FT-346,2027-01-28,2027-01-30,unit,2,EQP-L5-0019
OIL-GGS-2026,EQP.041.02,EQP-L6-0021,Install Pump FT-346 - Part 2 at Compressor House,L6,Equipment,Compressor House,,FT-346,2027-02-01,2027-02-05,unit,1,EQP-L6-0020
OIL-GGS-2026,CIV.042,CIV-L5-0018,Shutter Foundation F-238 - Work Package,L5,Civil,,,F-238,2026-11-13,2026-11-30,,,
OIL-GGS-2026,CIV.042.01,CIV-L6-0019,Shutter Foundation F-238 at Area 10,L6,Civil,Area 10,,F-238,2026-11-13,2026-11-17,m2,20,CIV-L5-0018
OIL-GGS-2026,INS.043,INS-L5-0022,Install Transmitter FT-310 - Work Package,L5,Instrumentation,,,FT-310,2027-01-16,2027-01-29,,,
OIL-GGS-2026,INS.043.01,INS-L6-0023,Install Transmitter FT-310 - Part 1 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,FT-310,2027-01-16,2027-01-19,instrument,7,INS-L5-0022
OIL-GGS-2026,INS.043.02,INS-L6-0024,Install Transmitter FT-310 - Part 2 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,FT-310,2027-01-20,2027-01-21,instrument,7,INS-L6-0023
OIL-GGS-2026,PIP.044,PIP-L5-0034,Weld 18in Joints Line 40-02 - Work Package,L5,Piping,,40,,2026-09-07,2026-09-23,,,
OIL-GGS-2026,PIP.044.01,PIP-L6-0035,Weld 18in Joints Line 40-02 - Part 1 at Rack A,L6,Piping,Rack A,40,,2026-09-07,2026-09-08,joint,15,PIP-L5-0034
OIL-GGS-2026,PIP.044.02,PIP-L6-0036,Weld 18in Joints Line 40-02 - Part 2 at Rack A,L6,Piping,Rack A,40,,2026-09-09,2026-09-11,joint,34,PIP-L6-0035
OIL-GGS-2026,PIP.044.03,PIP-L6-0037,Weld 18in Joints Line 40-02 - Part 3 at Rack A,L6,Piping,Rack A,40,,2026-09-12,2026-09-16,joint,37,PIP-L6-0036
OIL-GGS-2026,EQP.045,EQP-L5-0022,Align Pump TK-120 - Work Package,L5,Equipment,,,TK-120,2026-09-04,2026-09-17,,,
OIL-GGS-2026,EQP.045.01,EQP-L6-0023,Align Pump TK-120 at Tank Farm,L6,Equipment,Tank Farm,,TK-120,2026-09-04,2026-09-05,unit,2,EQP-L5-0022
OIL-GGS-2026,PIP.046,PIP-L5-0038,Erect 18in Spool Line 14-01 - Work Package,L5,Piping,,14,,2026-10-02,2026-10-22,,,
OIL-GGS-2026,PIP.046.01,PIP-L6-0039,Erect 18in Spool Line 14-01 at Rack A,L6,Piping,Rack A,14,,2026-10-02,2026-10-03,spool,16,PIP-L5-0038
OIL-GGS-2026,PIP.046.02,PIP-L6-0040,Erect 18in Spool Line 14-01 at Pipe Rack North,L6,Piping,Pipe Rack North,14,,2026-10-05,2026-10-09,spool,7,PIP-L6-0039
OIL-GGS-2026,INS.047,INS-L5-0025,Calibrate Instrument LT-140 - Work Package,L5,Instrumentation,,,LT-140,2026-12-07,2026-12-21,,,
OIL-GGS-2026,INS.047.01,INS-L6-0026,Calibrate Instrument LT-140 at Unit 200,L6,Instrumentation,Unit 200,,LT-140,2026-12-07,2026-12-09,instrument,1,INS-L5-0025
OIL-GGS-2026,STR.048,STR-L5-0013,Erect Steel Frame 32-09 - Work Package,L5,Structural,,32,,2026-12-12,2026-12-29,,,
OIL-GGS-2026,STR.048.01,STR-L6-0014,Erect Steel Frame 32-09 at Rack B,L6,Structural,Rack B,32,,2026-12-12,2026-12-14,t,25,STR-L5-0013
OIL-GGS-2026,STR.048.02,STR-L6-0015,Erect Steel Frame 32-09 at Compressor House,L6,Structural,Compressor House,32,,2026-12-15,2026-12-17,t,26,STR-L6-0014
OIL-GGS-2026,ELE.049,ELE-L5-0018,Pull Cable C-205 - Work Package,L5,Electrical,,,C-205,2026-12-18,2027-01-05,,,
OIL-GGS-2026,ELE.049.01,ELE-L6-0019,Pull Cable C-205 at Area 20,L6,Electrical,Area 20,,C-205,2026-12-18,2026-12-21,m,363,ELE-L5-0018
OIL-GGS-2026,EQP.050,EQP-L5-0024,Install Pump PT-260 - Work Package,L5,Equipment,,,PT-260,2026-10-24,2026-11-11,,,
OIL-GGS-2026,EQP.050.01,EQP-L6-0025,Install Pump PT-260 at Tank Farm,L6,Equipment,Tank Farm,,PT-260,2026-10-24,2026-10-26,unit,2,EQP-L5-0024
OIL-GGS-2026,PIP.051,PIP-L5-0041,Weld 6in Joints Line 14-02 - Work Package,L5,Piping,,14,,2026-10-08,2026-10-23,,,
OIL-GGS-2026,PIP.051.01,PIP-L6-0042,Weld 6in Joints Line 14-02 at Unit 200,L6,Piping,Unit 200,14,,2026-10-08,2026-10-10,joint,32,PIP-L5-0041
OIL-GGS-2026,PIP.051.02,PIP-L6-0043,Weld 6in Joints Line 14-02 at Pipe Rack North,L6,Piping,Pipe Rack North,14,,2026-10-12,2026-10-15,joint,12,PIP-L6-0042
OIL-GGS-2026,INS.052,INS-L5-0027,Run Tubing Impulse Line LT-427 - Work Package,L5,Instrumentation,,,LT-427,2026-09-10,2026-09-30,,,
OIL-GGS-2026,INS.052.01,INS-L6-0028,Run Tubing Impulse Line LT-427 at Control Room,L6,Instrumentation,Control Room,,LT-427,2026-09-10,2026-09-14,m,50,INS-L5-0027
OIL-GGS-2026,INS.052.02,INS-L6-0029,Run Tubing Impulse Line LT-427 at Wellhead Pad 2,L6,Instrumentation,Wellhead Pad 2,,LT-427,2026-09-15,2026-09-19,m,34,INS-L6-0028
OIL-GGS-2026,INS.052.03,INS-L6-0030,Run Tubing Impulse Line LT-427 at Unit 200,L6,Instrumentation,Unit 200,,LT-427,2026-09-21,2026-09-23,m,12,INS-L6-0029
OIL-GGS-2026,CIV.053,CIV-L5-0020,Cast Concrete Foundation F-113 - Work Package,L5,Civil,,,F-113,2026-09-16,2026-10-03,,,
OIL-GGS-2026,CIV.053.01,CIV-L6-0021,Cast Concrete Foundation F-113 at Unit 100,L6,Civil,Unit 100,,F-113,2026-09-16,2026-09-17,m3,58,CIV-L5-0020
